,"運用","エリア","ノード名称","ノード番号","電圧階級","潮流多根解析の'-'モード設定","負荷（PL, QL）を定インピーダンス特性とする","零相","実数分接地アドミタンス","虚数分接地アドミタンス","ノードの負荷特性を考慮する","有効アドミタンス比率","有効指数特性電力割合","有効電圧特性指数","無効アドミタンス比率","無効指数特性電力割合","無効電圧特性指数","電圧上限値の指定方法","電圧上限値","電圧下限値の指定方法","電圧下限値","プリント出力","グラフ出力"
1,"運用","","風力サイト","1","階級2   500.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","525","一括設定","475","True","True"
2,"運用","","風力サイト","2","階級2   500.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","525","一括設定","475","True","True"
3,"運用","","風力サイト","100","階級2   500.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","525","一括設定","475","True","True"
4,"運用","","","2001","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
5,"運用","","","2002","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
6,"運用","","","2003","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
7,"運用","","","2004","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
8,"運用","","","2005","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
9,"運用","","","2006","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
10,"運用","","","2007","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
11,"運用","","","2008","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
12,"運用","","","2101","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
13,"運用","","","2102","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
14,"運用","","","2103","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
15,"運用","","","2104","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
16,"運用","","","2105","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
17,"運用","","","2106","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
18,"運用","","","2107","階級2   500.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","525","一括設定","475","False","False"
19,"運用","","","2108","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
20,"運用","","","2109","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
21,"運用","","","2201","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
22,"運用","","","2202","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
23,"運用","","","2203","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
24,"運用","","","2204","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
25,"運用","","","2205","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
26,"運用","","","2206","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
27,"運用","","","2207","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
28,"運用","","","2208","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
29,"運用","","","2209","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
30,"運用","","","2210","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
31,"運用","","","3001","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
32,"運用","","","3002","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
33,"運用","","","3003","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
34,"運用","","","3004","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
35,"運用","","","3005","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
36,"運用","","","3006","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
37,"運用","","","3007","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
38,"運用","","","3008","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
39,"運用","","","3009","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
40,"運用","","","3010","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
41,"運用","","","3011","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
42,"運用","","","3012","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
43,"運用","","","3013","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
44,"運用","","","3014","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
45,"運用","","","3015","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
46,"運用","","","3016","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
47,"運用","","","3017","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
48,"運用","","","3018","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
49,"運用","","","3019","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
50,"運用","","","3020","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
51,"運用","","","3021","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
52,"運用","","","3022","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
53,"運用","","","3101","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
54,"運用","","","3102","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
55,"運用","","","3103","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
56,"運用","","","3104","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
57,"運用","","","3105","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
58,"運用","","","3106","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
59,"運用","","","3107","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
60,"運用","","","3108","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
61,"運用","","","3109","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
62,"運用","","","3110","階級2   500.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","525","一括設定","475","False","False"
63,"運用","","","3111","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
64,"運用","","","3112","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
65,"運用","","","3113","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
66,"運用","","","3114","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
67,"運用","","","3115","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
68,"運用","","","3116","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
69,"運用","","","3117","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
70,"運用","","","3118","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
71,"運用","","","3119","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
72,"運用","","","3120","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
73,"運用","","","3121","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
74,"運用","","","3122","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
75,"運用","","","3123","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
76,"運用","","","3124","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
