,"運用","発電機名称","接続ノード番号","接続ノード名","電圧階級","軸タイプ","定格容量MVA[ MVA ]","定格出力MW[ MW ]","慣性定数MG[ sec MVAベース]","ガバナ運転余裕","ガバナ運転余裕 PLM[ マシンMWベース% ]","軸ダンピング定数","軸ダンピング定数DG","クロスコンパウンド機","クロスコンパウンド機無効電力QKGT[ p.u.]","ガバナロック時トルク定数","ガバナロック時トルク定数TQCN","発電機表現形式LGT","標準定数","未入力定数","標準定数タイプNGT","揚水用設定フラグ","定格容量（揚水）MVA[ MVA ]","定格出力（揚水）MW[ MW ]","不飽和値同期リアクタンスD軸Xd[ p.u. ]","飽和値同期リアクタンスD軸Xd[ p.u. ]","不飽和値過渡リアクタンスD軸Xd'[ p.u. ]","飽和値過渡リアクタンスD軸Xd'[ p.u. ]","不飽和値次過渡リアクタンスD軸Xd''[ p.u. ]","飽和値次過渡リアクタンスD軸Xd''[ p.u. ]","過渡時定数D軸Td'[seq]","次過渡時定数D軸Td''[seq]","開路時定数D軸Tdo'[seq]","開路初期時定数D軸Tdo''[seq]","不飽和値同期リアクタンスQ軸Xq[ p.u. ]","飽和値同期リアクタンスQ軸Xq[ p.u. ]","不飽和値過渡リアクタンスQ軸Xq'[ p.u. ]","飽和値過渡リアクタンスQ軸Xq'[ p.u. ]","不飽和値次過渡リアクタンスQ軸Xq''[ p.u. ]","飽和値次過渡リアクタンスQ軸Xq''[ p.u. ]","過渡時定数Q軸Tq'[seq]","次過渡時定数Q軸Tq''[seq]","開路時定数Q軸Tqo'[seq]","開路初期時定数Q軸Tqo''[seq]","不飽和値電機子もれリアクタンスXl[ p.u. ]","飽和値電機子もれリアクタンスXl[ p.u. ]","電機子時定数Ta[ sec ]","電機子抵抗Ra[ p.u. ]","不飽和値逆相リアクタンスX2[ p.u. ]","飽和値逆相リアクタンスX2[ p.u. ]","不飽和値零相リアクタンスX0[ p.u. ]","飽和値零相リアクタンスX0[ p.u. ]","AVR型式LAT","AVR定数NAT","AVR設定","AVRコメント","GOV型式LPT","GOV定数NPT","GOVコメント","形式NST","形式NSTQ","励磁方式KHFLG1","初期回転数偏差VPSG [ p.u. ]","初期加減弁開度VPYA [ p.u. ]","水路定数VPGAL [ gA/L ]","電圧変換係数VPRMCY","変圧器リアクタンスVPXTCY[ p.u. ]","界磁短絡抵抗VPRSOV[ p.u. ]","完全特性データKHFLG2","変換器容量VPVACY [ MVA ]","回転数・ガイドベーン開度のテーブルKHFLG3","位相検出遅れ時間VPDTCY [ s ]","制御系指定方法","制御方式KHFLG6","電流設定値リミッタVPCSMX","定電流制御ゲインVPGPCY","定電流制御時定数VPTICY","定電流制御積分器リミッタ/定電流制御進み時定数VPVSMX/VPGFCY","界磁電流リミッタVPVFMX","完全特性データ出力KHFLG7","有効電力最大値[ p.u. ](系統ベース)","有効電力最小値[ p.u. ](系統ベース)","無効電力最大値[ p.u. ](系統ベース)","無効電力最小値[ p.u. ](系統ベース)","スロープリアクタンス[ p.u. ](系統ベース)","発電機プリント出力","発電機グラフ出力","AVRプリント出力","AVRグラフ出力","GOVプリント出力","GOVグラフ出力"
1,"運用","G1","2001","","階級3   275.0 kV","  ：タンデム機","4500.0","4000.0","9.07","設定する","-10.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.52","1.52","0.42","0.42","0.308","0.308","2.791","0.044","10.1","0.0","1.52","1.52","","","0.308","0.308","","0.044","1.0","0.0","0.18","0.18","0.25","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","4.5","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
2,"運用","G2","2002","","階級3   275.0 kV","  ：タンデム機","2700.0","2500.0","12.1","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.51","1.51","0.234","0.234","0.14","0.14","1.224","0.034","7.9","0.057","1.51","1.51","","","0.163","0.163","","0.02","1.14","0.079","0.174","0.174","0.283","0.0","0.144","0.144","0.097","0.097","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","2.7","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
3,"運用","G3","2003","","階級3   275.0 kV","  ：タンデム機","2350.0","2000.0","7.33","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.622","1.622","0.297","0.297","0.249","0.249","0.97","0.02","5.3","0.024","1.622","1.622","","","0.249","0.249","","0.021","","0.14","0.173","0.173","0.31","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","2.35","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
4,"運用","G4","2004","","階級3   275.0 kV","  ：タンデム機","3500.0","3000.0","9.23","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.617","1.617","0.291","0.291","0.205","0.205","1.114","0.028","6.19","0.04","1.531","1.531","","","0.205","0.205","","0.029","0.0","0.22","0.15","0.15","0.24","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","3.5","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
5,"運用","G5","2005","","階級3   275.0 kV","  ：タンデム機","2350.0","2000.0","8.86","設定する","-10.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.568","1.568","0.33","0.33","0.231","0.231","2.526","0.027","12.0","0.038","1.55","1.55","","","0.231","0.231","","0.02","2.5","0.056","0.192","0.192","0.225","0.0","0.231","0.231","0.1459","0.1459","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","2.35","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
6,"運用","G6","2006","","階級3   275.0 kV","  ：タンデム機","600.0","500.0","6.6","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.504","1.504","0.244","0.244","0.205","0.205","0.86","0.02","5.3","0.024","1.504","1.504","","","0.18","0.18","","0.02","1.0","0.14","0.165","0.165","0.232","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","0.6","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
7,"運用","G7","2007","","階級3   275.0 kV","  ：タンデム機","600.0","500.0","6.73","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.504","1.504","0.251","0.251","0.202","0.202","0.834","0.079","5.0","0.098","1.52","1.52","","","0.18","0.18","","0.02","0.844","0.098","0.154","0.154","0.24","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","0.6","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
8,"運用","G8","2008","","階級3   275.0 kV","  ：タンデム機","1180.0","1000.0","7.15","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.589","1.589","0.305","0.305","0.253","0.253","1.209","0.023","6.3","0.028","1.8","1.8","","","0.2422","0.2422","","0.02","1.3","0.046","0.205","0.205","0.27","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","1.18","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
9,"運用","G9","3001","","階級3   275.0 kV","  ：タンデム機","3000.0","2760.0","8.437","設定する","-10.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.67","1.67","0.375","0.375","0.285","0.285","1.549","0.03","6.9","0.039","1.67","1.67","","","0.285","0.285","","0.02","1.44","0.062","0.205","0.205","0.25","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","3.0","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
10,"運用","G10","3002","","階級3   275.0 kV","  ：タンデム機","9756.0","8312.0","8.57","設定する","-10.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.661","1.661","0.375","0.375","0.306","0.306","1.558","0.032","6.9","0.039","1.661","1.661","","","0.285","0.285","","0.02","1.44","0.039","0.205","0.205","0.25","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","9.756","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
11,"運用","G11","3003","","階級3   275.0 kV","  ：タンデム機","5010.0","4500.0","7.184","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.625","1.625","0.298","0.298","0.247","0.247","0.972","0.031","5.3","0.038","1.625","1.625","","","0.247","0.247","","0.02","1.0","0.038","0.173","0.173","0.32","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","5.01","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
12,"運用","G12","3004","","階級3   275.0 kV","  ：タンデム機","4100.0","3700.0","7.49","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.67","1.67","0.375","0.375","0.285","0.285","1.549","0.03","6.9","0.039","1.61","1.61","","","0.285","0.285","","0.02","1.44","0.062","0.205","0.205","0.25","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","4.1","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
13,"運用","G13","3005","","階級3   275.0 kV","  ：タンデム機","2947.0","2400.0","7.5","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.552","1.552","0.2372","0.2372","0.1981","0.1981","0.764","0.031","5.0","0.037","1.52","1.52","","","0.18","0.18","","0.02","1.04","0.054","0.157","0.157","0.231","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","2.947","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
14,"運用","G14","3006","","階級3   275.0 kV","  ：タンデム機","4173.0","3700.0","6.912","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.566","1.566","0.297","0.297","0.243","0.243","1.138","0.03","6.0","0.037","1.566","1.566","","","0.243","0.243","","0.02","0.73","0.037","0.17","0.17","0.274","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","4.173","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
15,"運用","G15","3007","","階級3   275.0 kV","  ：タンデム機","5568.0","5000.0","12.0","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.724","1.724","0.262","0.262","0.183","0.183","0.903","0.023","5.944","0.033","1.688","1.688","","","0.182","0.182","","0.02","0.437","0.07","0.151","0.151","0.406","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","5.568","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
16,"運用","G16","3008","","階級3   275.0 kV","  ：タンデム機","3955.0","3400.0","7.52","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.552","1.552","0.2372","0.2372","0.1981","0.1981","0.764","0.031","5.0","0.037","1.52","1.52","","","0.18","0.18","","0.02","1.04","0.054","0.157","0.157","0.231","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","3.955","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
17,"運用","G17","3009","","階級3   275.0 kV","  ：タンデム機","2800.0","2400.0","6.581","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.53","1.53","0.225","0.225","0.18","0.18","0.735","0.03","5.0","0.037","1.52","1.52","","","0.205","0.205","","0.02","1.04","0.054","0.157","0.157","0.15","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","2.8","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
18,"運用","G18","3010","","階級3   275.0 kV","  ：タンデム機","2974.0","2430.0","7.303","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.5","1.5","0.276","0.276","0.209","0.209","1.098","0.02","5.97","0.021","1.5","1.5","","","0.252","0.252","","0.02","0.66","0.029","0.182","0.182","0.4","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","2.974","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
19,"運用","G19","3011","","階級3   275.0 kV","  ：タンデム機","3296.0","2880.0","12.0","設定する","5.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.86","1.86","0.288","0.288","0.255","0.255","0.945","0.02","6.1","0.017","1.82","1.82","","","0.252","0.252","","0.02","0.68","0.026","0.211","0.211","0.52","0.0","0.254","0.254","0.112","0.112","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","3.296","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
20,"運用","G20","3012","","階級3   275.0 kV","  ：タンデム機","1170.0","1050.0","10.02","設定する","0.0","設定しない","","","","設定しない","","4","使用しない","空欄","","設定しない","","","1.143","1.143","0.2802","0.2802","0.1732","0.1732","2.733","0.062","11.15","0.1","0.78","0.78","","","0.17","0.17","","0.076","0.0","0.35","0.09","0.09","0.24","0.0","","","","","1","標準定数","他励式","","4","標準定数","","","","","","","","","","","","","","","","","","","","","","","1.17","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
21,"運用","G21","3013","","階級3   275.0 kV","  ：タンデム機","1120.0","1000.0","10.6","設定する","0.0","設定しない","","","","設定しない","","4","使用しない","空欄","","設定しない","","","1.08","1.08","0.223","0.223","0.166","0.166","3.613","0.042","17.5","0.056","0.75","0.75","","","0.17","0.17","","0.036","0.0","0.16","0.08","0.08","0.342","0.0","","","","","1","標準定数","他励式","","4","標準定数","","","","","","","","","","","","","","","","","","","","","","","1.12","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
22,"運用","G22","3014","","階級3   275.0 kV","  ：タンデム機","1030.0","900.0","8.78","設定する","0.0","設定しない","","","","設定しない","","4","使用しない","空欄","","設定しない","","","1.139","1.139","0.3666","0.3666","0.2969","0.2969","3.051","0.057","9.48","0.07","0.79","0.79","","","0.3054","0.3054","","0.062","0.0","0.16","0.15","0.15","0.395","0.0","","","","","1","標準定数","他励式","","4","標準定数","","","","","","","","","","","","","","","","","","","","","","","1.03","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
23,"運用","G23","3015","","階級3   275.0 kV","  ：タンデム機","750.0","675.0","10.92","設定する","0.0","設定しない","","","","設定しない","","4","使用しない","空欄","","設定しない","","","1.27","1.27","0.29","0.29","0.19","0.19","2.74","0.033","12.0","0.05","0.87","0.87","","","0.16","0.16","","0.051","","0.28","0.09","0.09","0.38","0.0","","","","","1","標準定数","他励式","","4","標準定数","","","","","","","","","","","","","","","","","","","","","","","0.75","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
24,"運用","G24","3016","","階級3   275.0 kV","  ：タンデム機","1340.0","1200.0","13.2","設定する","0.0","設定しない","","","","設定しない","","4","使用しない","空欄","","設定しない","","","1.24","1.24","0.355","0.355","0.247","0.247","2.674","0.02","9.34","0.029","0.85","0.85","","","0.2","0.2","","0.068","","0.29","0.1","0.1","0.37","0.0","","","","","1","標準定数","他励式","","4","標準定数","","","","","","","","","","","","","","","","","","","","","","","1.34","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
25,"運用","G25","3017","","階級3   275.0 kV","  ：タンデム機","8280.0","7112.0","7.18","設定する","-10.0","設定しない","","","","設定しない","","4","使用しない","空欄","","","","","1.516","1.516","0.4187","0.4187","0.3042","0.3042","1.906","0.028","6.9","0.039","1.516","1.516","","","0.285","0.285","","0.02","1.44","0.062","0.205","0.205","0.315","0.0","","","","","1","標準定数","他励式","","1","標準定数","","","","","","","","","","","","","","","","","","","","","","","8.28","0.0","0.0","0.0","0.0","True","True","False","False","False","False"
