,"ノード名称","ノード番号","エリア","端子電圧V [ p.u. ]","発電機有効電力PG [ p.u. ]","発電機無効電力QG [ p.u. ]","有効電力負荷PL[ p.u. ]","無効電力負荷QL [ p.u. ]","誘導機負荷IMPL [ p.u. ]","調相設備量YC [ p.u. ]","調相設備量段数","負荷アップ率対象/非対象"
1,"","2","","1.02","0.58064516","0.05483871","","","","","","非対象"
2,"","3","","1.02","0.58064516","0.05483871","","","","","","非対象"
3,"","4","","1.02","0.58064516","0.05483871","","","","","","非対象"
4,"","5","","1.02","0.58064516","0.05483871","","","","","","非対象"
5,"","6","","1.02","0.58064516","0.05483871","","","","","","非対象"
6,"","7","","1.02","0.58064516","0.05483871","","","","","","非対象"
7,"","8","","1.02","0.58064516","0.05483871","","","","","","非対象"
8,"","9","","1.02","0.58064516","0.05483871","","","","","","非対象"
9,"","10","","1.02","0.58064516","0.05483871","","","","","","非対象"
10,"","11","","1.02","0.58064516","0.05483871","","","","","","非対象"
11,"","12","","1.02","0.58064516","0.05483871","","","","","","非対象"
12,"","13","","1.02","0.58064516","0.05483871","","","","","","非対象"
13,"","14","","1.02","0.58064516","0.05483871","","","","","","非対象"
14,"","15","","1.02","0.58064516","0.05483871","","","","","","非対象"
15,"","16","","1.02","0.58064516","0.05483871","","","","","","非対象"
16,"","17","","1.02","0.58064516","0.05483871","","","","","","非対象"
17,"","18","","1.02","0.58064516","0.05483871","","","","","","非対象"
18,"","19","","1.02","0.58064516","0.05483871","","","","","","非対象"
19,"","20","","1.02","0.58064516","0.05483871","","","","","","非対象"
20,"","21","","1.02","0.58064516","0.05483871","","","","","","非対象"
21,"","22","","1.02","0.58064516","0.05483871","","","","","","非対象"
22,"","23","","1.02","0.58064516","0.05483871","","","","","","非対象"
23,"","24","","1.02","0.58064516","0.05483871","","","","","","非対象"
24,"","25","","1.02","0.58064516","0.05483871","","","","","","非対象"
25,"","26","","1.02","0.58064516","0.05483871","","","","","","非対象"
26,"","27","","1.02","0.58064516","0.05483871","","","","","","非対象"
27,"","28","","1.02","0.58064516","0.05483871","","","","","","非対象"
28,"","29","","1.02","0.58064516","0.05483871","","","","","","非対象"
29,"","30","","1.02","0.58064516","0.05483871","","","","","","非対象"
30,"","31","","1.02","0.58064516","0.05483871","","","","","","非対象"
31,"","32","","1.02","0.58064516","0.05483871","","","","","","非対象"
32,"","2001","","1.02","3.8","0.5987","","","","","",""
33,"","2002","","1.02","2.2","0.60224","","","","","",""
34,"","2003","","1.02","1.5","0.49368","","","","","",""
35,"","2004","","1.02","2.5","1.0616","","","","","",""
36,"","2005","","1.02","2.0","0.77075","","","","","",""
37,"","2006","","1.02","0.5","0.29545","","","","","",""
38,"","2007","","1.02","0.5","0.21544","","","","","",""
39,"","2008","","1.02","1.0","0.44267","","","","","",""
40,"","2107","","0.0","","","1.5","0.4931","","","","非対象"
41,"","2201","","0.0","","","0.5","0.01","","","","非対象"
42,"","2202","","0.0","","","1.0","0.02","","","","非対象"
43,"","2203","","0.0","","","0.5","0.03","","","","非対象"
44,"","2205","","0.0","","","0.6","0.05","","","","非対象"
45,"","2206","","0.0","","","0.2","0.05","","","","非対象"
46,"","2207","","0.0","","","1.5","0.8","","","","非対象"
47,"","2208","","0.0","","","0.5","0.4","","","","非対象"
48,"","2209","","0.0","","","1.0","0.34","","","","非対象"
49,"","2210","","0.0","","","2.0","0.04","","","","非対象"
50,"","3001","","1.02","2.678","1.12417","","","","","",""
51,"","3002","","1.02","1.5494","2.03008","","","","","",""
52,"","3003","","1.02","4.232","1.48724","","","","","",""
53,"","3004","","1.02","3.5","0.28217","","","","","",""
54,"","3005","","1.02","2.1","0.42625","","","","","",""
55,"","3006","","1.02","3.64","1.36906","","","","","",""
56,"","3007","","1.02","0.896","1.10959","","","","","",""
57,"","3008","","1.02","2.8","1.02313","","","","","",""
58,"","3009","","1.02","2.34","0.39833","","","","","",""
59,"","3010","","1.02","2.2","0.24425","","","","","",""
60,"","3011","","1.02","2.44","0.24771","","","","","",""
61,"","3012","","1.02","0.98","0.28701","","","","","",""
62,"","3013","","1.02","0.9","0.15482","","","","","",""
63,"","3014","","1.02","0.82","0.15041","","","","","",""
64,"","3015","","1.02","0.55751","0.16605","","","","","",""
65,"","3016","","1.02","0.9","0.22991","","","","","",""
66,"","3017","","1.02","1.38","1.19633","","","","","",""
67,"","3018","","1.02","1.0","0.23476","","","","","",""
68,"","3019","","1.02","1.6","0.20786","","","","","",""
69,"","3020","","1.02","1.23","0.27837","","","","","",""
70,"","3021","","1.02","2.95709","1.40118","","","","","",""
71,"","3022","","1.02","1.9","0.47184","","","","","",""
72,"","3110","","0.0","","","0.6","-0.6295","","","","非対象"
73,"","3202","","0.0","","","2.3","-0.95","","","","非対象"
74,"","3204","","0.0","","","1.9","0.2","","","","非対象"
75,"","3205","","0.0","","","2.0","0.24","","","","非対象"
76,"","3207","","0.0","","","4.8","-1.2452","","","","非対象"
77,"","3209","","0.0","","","2.1","-0.8","","","","非対象"
78,"","3210","","0.0","","","0.45","-0.1","","","","非対象"
79,"","3211","","0.0","","","0.55","0.0706","","","","非対象"
80,"","3213","","0.0","","","7.3","1.54","","","","非対象"
81,"","3215","","0.0","","","1.8","1.0","","","","非対象"
82,"","3301","","0.0","","","2.6","-0.7014","","","","非対象"
83,"","3302","","0.0","","","8.5","0.6253","","","","非対象"
84,"","3303","","0.0","","","2.9","0.162","","","","非対象"
85,"","3304","","0.0","","","-0.8","-0.3665","","","","非対象"
86,"","3305","","0.0","","","5.5","0.01","","","","非対象"
87,"","3306","","0.0","","","10.0","-0.024","","","","非対象"
88,"","3307","","0.0","","","1.4","-0.79","","","","非対象"
89,"","3308","","0.0","","","1.9","0.37","","","","非対象"
90,"","3309","","0.0","","","3.7","0.9","","","","非対象"
91,"","3310","","0.0","","","1.35","-0.32","","","","非対象"
