潮流計算条件名,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,繝吶・繧ｹ繧ｱ繝ｼ繧ｹ,
過渡安定度条件名,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,01_7_7_7,
種類,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,ノード,
名称 [番号]," [1]"," [2]"," [3]"," [4]"," [5]"," [6]"," [7]"," [8]"," [9]"," [10]"," [11]"," [12]"," [13]"," [14]"," [15]"," [16]"," [17]"," [18]"," [19]"," [20]"," [21]"," [22]"," [23]"," [24]"," [25]"," [26]"," [27]"," [28]"," [29]"," [30]"," [31]"," [32]"," [33]"," [34]"," [35]"," [36]"," [37]"," [38]"," [39]"," [40]"," [41]"," [42]"," [43]"," [44]"," [45]"," [46]"," [47]","同期調相機 [60]","千葉サイト [101]","茨城サイト [102]","福島サイト [103]",
TIME,"VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]","VT [kV]",
-0.1,276.92535,276.37520,280.50042,276.37523,280.50042,276.37516,280.50032,280.50013,280.50013,279.12516,510.00047,510.00023,510.00053,510.00029,510.00059,510.00023,510.00041,280.50006,280.50009,510.00017,510.00088,510.00100,510.00100,510.00100,510.00088,510.00094,510.00106,510.00094,510.00100,510.00112,510.00094,510.00112,510.00118,510.00118,510.00112,510.00029,510.00017,280.50062,280.50062,280.50062,280.50062,280.50065,280.50068,280.50052,280.50055,280.50055,280.50009,288.75018,509.84025,505.72234,509.83852,
0,276.92588,276.37552,280.50121,276.37572,280.50137,276.37556,280.50072,280.50032,280.50029,279.12519,510.00232,510.00148,510.00279,510.00190,510.00327,510.00154,510.00196,280.50049,280.50032,510.00059,510.00357,510.00392,510.00398,510.00404,510.00398,510.00428,510.00434,510.00428,510.00434,510.00446,510.00398,510.00464,510.00470,510.00482,510.00482,510.00118,510.00082,280.50219,280.50226,280.50239,280.50245,280.50258,280.50268,280.50222,280.50242,280.50222,280.50029,288.75041,509.84281,505.72437,509.83995,
0.01,276.92588,276.37556,280.50124,276.37575,280.50140,276.37556,280.50075,280.50032,280.50029,279.12519,510.00232,510.00154,510.00285,510.00190,510.00327,510.00166,510.00196,280.50049,280.50039,510.00059,510.00363,510.00392,510.00404,510.00410,510.00398,510.00434,510.00440,510.00434,510.00434,510.00452,510.00398,510.00464,510.00470,510.00488,510.00488,510.00130,510.00082,280.50219,280.50226,280.50242,280.50249,280.50258,280.50268,280.50226,280.50242,280.50222,280.50032,288.75045,509.84281,505.72443,509.83995,
0.02,276.92588,276.37556,280.50127,276.37575,280.50144,276.37556,280.50072,280.50036,280.50029,279.12523,510.00232,510.00154,510.00291,510.00202,510.00333,510.00166,510.00196,280.50049,280.50039,510.00053,510.00363,510.00398,510.00410,510.00416,510.00410,510.00440,510.00446,510.00440,510.00440,510.00458,510.00404,510.00470,510.00476,510.00494,510.00488,510.00130,510.00077,280.50222,280.50229,280.50245,280.50252,280.50262,280.50272,280.50226,280.50245,280.50222,280.50032,288.75048,509.84287,505.72443,509.84001,
0.03,276.92591,276.37559,280.50131,276.37579,280.50144,276.37559,280.50065,280.50039,280.50029,279.12523,510.00237,510.00160,510.00297,510.00202,510.00339,510.00160,510.00190,280.50049,280.50039,510.00053,510.00369,510.00398,510.00410,510.00416,510.00410,510.00440,510.00446,510.00446,510.00440,510.00458,510.00398,510.00470,510.00476,510.00494,510.00494,510.00124,510.00077,280.50222,280.50232,280.50245,280.50252,280.50262,280.50275,280.50229,280.50249,280.50222,280.50032,288.75048,509.84293,505.72437,509.84001,
0.04,276.92594,276.37562,280.50134,276.37575,280.50147,276.37562,280.50072,280.50039,280.50032,279.12519,510.00243,510.00166,510.00303,510.00202,510.00345,510.00172,510.00190,280.50049,280.50039,510.00053,510.00375,510.00410,510.00422,510.00428,510.00422,510.00452,510.00458,510.00452,510.00452,510.00470,510.00404,510.00476,510.00488,510.00506,510.00500,510.00136,510.00077,280.50229,280.50239,280.50252,280.50255,280.50265,280.50278,280.50232,280.50252,280.50226,280.50032,288.75048,509.84299,505.72443,509.84001,
