,"ノード名称","ノード番号","エリア","端子電圧V [ p.u. ]","発電機有効電力PG [ p.u. ]","発電機無効電力QG [ p.u. ]","有効電力負荷PL[ p.u. ]","無効電力負荷QL [ p.u. ]","誘導機負荷IMPL [ p.u. ]","調相設備量YC [ p.u. ]","調相設備量段数","負荷アップ率対象/非対象"
1,"G1","2001","","1.02","3.8","0.5987","","","","","",""
2,"G2","2002","","1.02","2.2","0.60224","","","","","",""
3,"G3","2003","","1.02","1.5","0.49368","","","","","",""
4,"G4","2004","","1.02","2.5","1.0616","","","","","",""
5,"G5","2005","","1.02","2.0","0.77075","","","","","",""
6,"G6","2006","","1.02","0.5","0.29545","","","","","",""
7,"G7","2007","","1.02","0.5","0.21544","","","","","",""
8,"G8","2008","","1.02","1.0","0.44267","","","","","",""
9,"","2107","","0.0","","","1.5","0.4931","","","","非対象"
10,"","2201","","0.0","","","0.5","0.01","","","","非対象"
11,"","2202","","0.0","","","1.0","0.02","","","","非対象"
12,"","2203","","0.0","","","0.5","0.03","","","","非対象"
13,"","2205","","0.0","","","0.6","0.05","","","","非対象"
14,"","2206","","0.0","","","0.2","0.05","","","","非対象"
15,"","2207","","0.0","","","1.5","0.8","","","","非対象"
16,"","2208","","0.0","","","0.5","0.4","","","","非対象"
17,"","2209","","0.0","","","1.0","0.34","","","","非対象"
18,"","2210","","0.0","","","2.0","0.04","","","","非対象"
19,"G9","3001","","1.02","2.678","1.12417","","","","","",""
20,"G10","3002","","1.02","7.747","2.03008","","","","","",""
21,"G11","3003","","1.02","4.232","1.48724","","","","","",""
22,"G12","3004","","1.02","3.5","0.28217","","","","","",""
23,"G13","3005","","1.02","2.1","0.42625","","","","","",""
24,"G14","3006","","1.02","3.64","1.36906","","","","","",""
25,"G15","3007","","1.02","4.48","1.10959","","","","","",""
26,"G16","3008","","1.02","2.8","1.02313","","","","","",""
27,"G17","3009","","1.02","2.34","0.39833","","","","","",""
28,"G18","3010","","1.02","2.2","0.24425","","","","","",""
29,"G19","3011","","1.02","2.44","0.24771","","","","","",""
30,"G20","3012","","1.02","0.98","0.28701","","","","","",""
31,"G21","3013","","1.02","0.9","0.15482","","","","","",""
32,"G22","3014","","1.02","0.82","0.15041","","","","","",""
33,"G23","3015","","1.02","0.55751","0.16605","","","","","",""
34,"G24","3016","","1.02","0.9","0.22991","","","","","",""
35,"G25","3017","","1.02","6.9","1.19633","","","","","",""
36,"G26","3018","","1.02","1.0","0.23476","","","","","",""
37,"G27","3019","","1.02","1.6","0.20786","","","","","",""
38,"G28","3020","","1.02","1.23","0.27837","","","","","",""
39,"G29","3021","","1.02","4.6","1.40118","","","","","",""
40,"G30","3022","","1.02","1.9","0.47184","","","","","",""
41,"","3110","","0.0","","","0.6","-0.6295","","","","非対象"
42,"","3202","","0.0","","","2.3","-0.95","","","","非対象"
43,"","3204","","0.0","","","1.9","0.2","","","","非対象"
44,"","3205","","0.0","","","2.0","0.24","","","","非対象"
45,"","3206","","0.0","","","","","","1.28","",""
46,"","3207","","0.0","","","4.8","-1.2452","","","","非対象"
47,"","3209","","0.0","","","2.1","-0.8","","","","非対象"
48,"","3210","","0.0","","","0.45","-0.1","","","","非対象"
49,"","3211","","0.0","","","0.55","0.0706","","","","非対象"
50,"","3213","","0.0","","","7.3","1.54","","","","非対象"
51,"","3214","","0.0","","","","","","0.0","",""
52,"","3215","","0.0","","","1.8","1.0","","","","非対象"
53,"","3301","","0.0","","","2.6","-0.7014","","","","非対象"
54,"","3302","","0.0","","","8.5","0.6253","","0.9035","","非対象"
55,"","3303","","0.0","","","2.9","0.162","","0.92272","","非対象"
56,"","3304","","0.0","","","-0.8","-0.3665","","","","非対象"
57,"","3305","","0.0","","","5.5","0.01","","1.49942","","非対象"
58,"","3306","","0.0","","","10.0","-0.024","","1.57632","","非対象"
59,"","3307","","0.0","","","1.4","-0.79","","","","非対象"
60,"","3308","","0.0","","","1.9","0.37","","0.40369","","非対象"
61,"","3309","","0.0","","","3.7","0.9","","1.61476","","非対象"
62,"","3310","","0.0","","","1.35","-0.32","","","","非対象"
63,"","3312","","0.0","","","2.45","-0.5","","","","非対象"
