,"運用","エリア","変圧器名称","変圧器番号","バンク数指定","バンク数","結線","接地方式（1次側）","接地方式（2次側）","正相リアクタンスZ1X[ p.u. ]","同相分タップ比TAPR[ p.u.]","タップテーブル指定","タップテーブル名称","タップテーブルタップ位置","正相抵抗指定","正相抵抗TAPI[ p.u. ]","零相定数指定Z","零相回路","π回路:零相抵抗Ｙ回路:零相接地抵抗ZOR[ p.u. ]","π回路:零相リアクタンスＹ回路:零相接地リアクタンスZOX[ p.u. ]","NF側π回路:零相接地抵抗Ｙ回路:零相抵抗ZORF[ p.u. ]","NF側π回路:零相接地リアクタンスＹ回路:零相リアクタンスZOXF[ p.u. ]","NT側π回路:零相接地抵抗Ｙ回路:零相抵抗ZORT[ p.u. ]","NT側π回路:零相接地リアクタンスＹ回路:零相リアクタンスZOXT[ p.u. ]","タップ調整用情報","変圧器電圧指定箇所","変圧器電圧指定値","タップ値上限","タップ値下限","熱容量 1[ MW ]","熱容量 2[ MW ]","熱容量 3[ MW ]","プリント出力","グラフ出力","送端側ノード名称","送端側ノード番号","送端側電圧階級[ kV ]","受端側ノード名称","受端側ノード番号","受端側電圧階級[ kV ]"
1,"運用","[エリア指定なし]","","2001","指定しない","","指定なし","","","0.0335","0.91635","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2101","階級2   500.0 kV","","2001","階級3   275.0 kV"
2,"運用","[エリア指定なし]","","2002","指定しない","","指定なし","","","0.0509","0.90698","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2107","階級2   500.0 kV","","2002","階級3   275.0 kV"
3,"運用","[エリア指定なし]","","2003","指定しない","","指定なし","","","0.0636","0.90698","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2108","階級2   500.0 kV","","2003","階級3   275.0 kV"
4,"運用","[エリア指定なし]","","2004","指定しない","","指定なし","","","0.0424","0.94079","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2207","階級3   275.0 kV","","2004","階級3   275.0 kV"
5,"運用","[エリア指定なし]","","2005","指定しない","","指定なし","","","0.0636","0.94079","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2208","階級3   275.0 kV","","2005","階級3   275.0 kV"
6,"運用","[エリア指定なし]","","2006","指定しない","","指定なし","","","0.2545","0.94079","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2209","階級3   275.0 kV","","2006","階級3   275.0 kV"
7,"運用","[エリア指定なし]","","2007","指定しない","","指定なし","","","0.2545","0.94079","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2210","階級3   275.0 kV","","2007","階級3   275.0 kV"
8,"運用","[エリア指定なし]","","2008","指定しない","","指定なし","","","0.1273","0.93099","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2206","階級3   275.0 kV","","2008","階級3   275.0 kV"
9,"運用","[エリア指定なし]","","2301","指定しない","","指定なし","","","0.072","0.94787","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2102","階級2   500.0 kV","","2201","階級3   275.0 kV"
10,"運用","[エリア指定なし]","","2302","指定しない","","指定なし","","","0.072","0.94787","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2103","階級2   500.0 kV","","2202","階級3   275.0 kV"
