,Operation,Generator Name,Connection Node Number,Connection Node Name,Voltage Level,Axis Type,Rated Capacity [MVA],Rated Output [MW],Inertia Constant MG [sec MVA Base],Governor Operating Margin,Governor Operating Margin PLM [Machine MW Base %],Axis Damping Constant,Axis Damping Constant DG,Cross Compound Machine,Cross Compound Machine Reactive Power QKGT [p.u.],Governor Locked Torque Constant,Governor Locked Torque Constant TQCN,Generator Representation Type LGT,Standard Constants,Unset Constants,Standard Constant Type NGT,Pumped Storage Setting Flag,Rated Capacity (Pumped Storage) [MVA],Rated Output (Pumped Storage) [MW],Unsaturated Synchronous Reactance D-axis Xd [p.u.],Saturated Synchronous Reactance D-axis Xd [p.u.],Unsaturated Transient Reactance D-axis Xd' [p.u.],Saturated Transient Reactance D-axis Xd' [p.u.],Unsaturated Subtransient Reactance D-axis Xd'' [p.u.],Saturated Subtransient Reactance D-axis Xd'' [p.u.],Transient Time Constant D-axis Td' [seq],Subtransient Time Constant D-axis Td'' [seq],Open Circuit Time Constant D-axis Tdo' [seq],Open Circuit Initial Time Constant D-axis Tdo'' [seq],Unsaturated Synchronous Reactance Q-axis Xq [p.u.],Saturated Synchronous Reactance Q-axis Xq [p.u.],Unsaturated Transient Reactance Q-axis Xq' [p.u.],Saturated Transient Reactance Q-axis Xq' [p.u.],Unsaturated Subtransient Reactance Q-axis Xq'' [p.u.],Saturated Subtransient Reactance Q-axis Xq'' [p.u.],Transient Time Constant Q-axis Tq' [seq],Subtransient Time Constant Q-axis Tq'' [seq],Open Circuit Time Constant Q-axis Tqo' [seq],Open Circuit Initial Time Constant Q-axis Tqo'' [seq],Unsaturated Armature Leakage Reactance Xl [p.u.],Saturated Armature Leakage Reactance Xl [p.u.],Armature Time Constant Ta [sec],Armature Resistance Ra [p.u.],Unsaturated Negative Sequence Reactance X2 [p.u.],Saturated Negative Sequence Reactance X2 [p.u.],Unsaturated Zero Sequence Reactance X0 [p.u.],Saturated Zero Sequence Reactance X0 [p.u.],AVR Type LAT,AVR Constants NAT,AVR Settings,AVR Comments,GOV Type LPT,GOV Constants NPT,GOV Comments,Format NST,Format NSTQ,Excitation System Type KHFLG1,Initial Rotational Speed Deviation VPSG [p.u.],Initial Governor Valve Opening VPYA [p.u.],Waterway Constant VPGAL [gA/L],Voltage Conversion Coefficient VPRMCY,Transformer Reactance VPXTCY [p.u.],Field Short Circuit Resistance VPRSOV [p.u.],Full Characteristic Data KHFLG2,Converter Capacity VPVACY [MVA],Rotational Speed and Guide Vane Opening Table KHFLG3,Phase Detection Delay Time VPDTCY [s],Control System Specification Method,Control Method KHFLG6,Current Setting Limiter VPCSMX,Constant Current Control Gain VPGPCY,Constant Current Control Time Constant VPTICY,Constant Current Control Integrator Limiter / Advance Time Constant VPVSMX/VPGFCY,Field Current Limiter VPVFMX,Full Characteristic Data Output KHFLG7,Active Power Max [p.u.] (System Base),Active Power Min [p.u.] (System Base),Reactive Power Max [p.u.] (System Base),Reactive Power Min [p.u.] (System Base),Slope Reactance [p.u.] (System Base),Generator Print Output,Generator Graph Output,AVR Print Output,AVR Graph Output,GOV Print Output,GOV Graph Output
1,Operation,G1,2001,,Class3   275.0 kV,tandem plane,4500,4000,9.07,Setup,-10,Not set,,,,Not set,,4,Not used,,,,,,1.52,1.52,0.42,0.42,0.308,0.308,2.791,0.044,10.1,0,1.52,1.52,,,0.308,0.308,,0.044,1,0,0.18,0.18,0.25,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,4.5,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2,Operation,G2,2002,,Class3   275.0 kV,tandem plane,2700,2500,12.1,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.51,1.51,0.234,0.234,0.14,0.14,1.224,0.034,7.9,0.057,1.51,1.51,,,0.163,0.163,,0.02,1.14,0.079,0.174,0.174,0.283,0,0.144,0.144,0.097,0.097,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,2.7,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3,Operation,G3,2003,,Class3   275.0 kV,tandem plane,2350,2000,7.33,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.622,1.622,0.297,0.297,0.249,0.249,0.97,0.02,5.3,0.024,1.622,1.622,,,0.249,0.249,,0.021,,0.14,0.173,0.173,0.31,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,2.35,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4,Operation,G4,2004,,Class3   275.0 kV,tandem plane,3500,3000,9.23,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.617,1.617,0.291,0.291,0.205,0.205,1.114,0.028,6.19,0.04,1.531,1.531,,,0.205,0.205,,0.029,0,0.22,0.15,0.15,0.24,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,3.5,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5,Operation,G5,2005,,Class3   275.0 kV,tandem plane,2350,2000,8.86,Setup,-10,Not set,,,,Not set,,4,Not used,,,,,,1.568,1.568,0.33,0.33,0.231,0.231,2.526,0.027,12,0.038,1.55,1.55,,,0.231,0.231,,0.02,2.5,0.056,0.192,0.192,0.225,0,0.231,0.231,0.1459,0.1459,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,2.35,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
6,Operation,G6,2006,,Class3   275.0 kV,tandem plane,600,500,6.6,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.504,1.504,0.244,0.244,0.205,0.205,0.86,0.02,5.3,0.024,1.504,1.504,,,0.18,0.18,,0.02,1,0.14,0.165,0.165,0.232,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,0.6,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
7,Operation,G7,2007,,Class3   275.0 kV,tandem plane,600,500,6.73,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.504,1.504,0.251,0.251,0.202,0.202,0.834,0.079,5,0.098,1.52,1.52,,,0.18,0.18,,0.02,0.844,0.098,0.154,0.154,0.24,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,0.6,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
8,Operation,G8,2008,,Class3   275.0 kV,tandem plane,1180,1000,7.15,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.589,1.589,0.305,0.305,0.253,0.253,1.209,0.023,6.3,0.028,1.8,1.8,,,0.2422,0.2422,,0.02,1.3,0.046,0.205,0.205,0.27,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,1.18,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,Operation,G9,3001,,Class3   275.0 kV,tandem plane,3000,2760,8.437,Setup,-10,Not set,,,,Not set,,4,Not used,,,,,,1.67,1.67,0.375,0.375,0.285,0.285,1.549,0.03,6.9,0.039,1.67,1.67,,,0.285,0.285,,0.02,1.44,0.062,0.205,0.205,0.25,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
10,Operation,G10,3002,,Class3   275.0 kV,tandem plane,9756,8312,8.57,Setup,-10,Not set,,,,Not set,,4,Not used,,,,,,1.661,1.661,0.375,0.375,0.306,0.306,1.558,0.032,6.9,0.039,1.661,1.661,,,0.285,0.285,,0.02,1.44,0.039,0.205,0.205,0.25,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,9.756,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
