@需給条件,,,,,73.54451,,72.6,,,,,,,(for v1),98%,72.0736198,71.148,,調相機除去により、3206、3214ノードの情報が記載できない。この点を考慮した以下のデータセットを使用する。,,,,,"(for v2)
再エネ","P,Q",5,1.76615671,,調相機除去により、3206、3214ノードの情報が記載できない。この点を考慮した以下のデータセットを使用する。,,,
,ノード名称,ノード番号,エリア,端子電圧V [ p.u. ],発電機有効電力PG [ p.u. ],発電機無効電力QG [ p.u. ],有効電力負荷PL[ p.u. ],無効電力負荷QL [ p.u. ],誘導機負荷IMPL [ p.u. ],調相設備量YC [ p.u. ],調相設備量段数,負荷アップ率対象/非対象,,発電機有効電力PG [ p.u. ],発電機無効電力QG [ p.u. ],有効電力負荷PL[ p.u. ],無効電力負荷QL [ p.u. ],,,,,,,発電機有効電力PG [ p.u. ],発電機無効電力QG [ p.u. ],有効電力負荷PL[ p.u. ],無効電力負荷QL [ p.u. ],,,,,
1,,2001,,1.02,3.8,0.5987,,,,,,,,3.724,0.586726,0,0,,3.724,0.586726,0,0,,3.465653048,0.531076548,0,0,,3.465653048,0.531076548,0,0
2,,2002,,1.02,2.2,0.60224,,,,,,,,2.156,0.5901952,0,0,,2.156,0.5901952,0,0,,2.006430712,0.534216703,0,0,,2.006430712,0.534216703,0,0
3,,2003,,1.02,1.5,0.49368,,,,,,,,1.47,0.4838064,0,0,,1.47,0.4838064,0,0,,1.36802094,0.437918607,0,0,,1.36802094,0.437918607,0,0
4,,2004,,1.02,2.5,1.0616,,,,,,,,2.45,1.040368,0,0,,2.45,1.040368,0,0,,2.2800349,0.941691771,0,0,,2.2800349,0.941691771,0,0
5,,2005,,1.02,2,0.77075,,,,,,,,1.96,0.755335,0,0,,1.96,0.755335,0,0,,1.82402792,0.683693418,0,0,,1.82402792,0.683693418,0,0
6,,2006,,1.02,0.5,0.29545,,,,,,,,0.49,0.289541,0,0,,0.49,0.289541,0,0,,0.45600698,0.262078781,0,0,,0.45600698,0.262078781,0,0
7,,2007,,1.02,0.5,0.21544,,,,,,,,0.49,0.2111312,0,0,,0.49,0.2111312,0,0,,0.45600698,0.191105949,0,0,,0.45600698,0.191105949,0,0
8,,2008,,1.02,1,0.44267,,,,,,,,0.98,0.4338166,0,0,,0.98,0.4338166,0,0,,0.91201396,0.392670211,0,0,,0.91201396,0.392670211,0,0
9,,2107,,0,,,1.5,0.4931,,,,非対象,,0,0,1.47,0.483238,,0,0,1.47,0.483238,,0,0,1.47,0.483238,,0,0,1.47,0.483238
10,,2201,,0,,,0.5,0.01,,,,非対象,,0,0,0.49,0.0098,,0,0,0.49,0.0098,,0,0,0.49,0.0098,,0,0,0.49,0.0098
11,,2202,,0,,,1,0.02,,,,非対象,,0,0,0.98,0.0196,,0,0,0.98,0.0196,,0,0,0.98,0.0196,,0,0,0.98,0.0196
12,,2203,,0,,,0.5,0.03,,,,非対象,,0,0,0.49,0.0294,,0,0,0.49,0.0294,,0,0,0.49,0.0294,,0,0,0.49,0.0294
13,,2205,,0,,,0.6,0.05,,,,非対象,,0,0,0.588,0.049,,0,0,0.588,0.049,,0,0,0.588,0.049,,0,0,0.588,0.049
14,,2206,,0,,,0.2,0.05,,,,非対象,,0,0,0.196,0.049,,0,0,0.196,0.049,,0,0,0.196,0.049,,0,0,0.196,0.049
15,,2207,,0,,,1.5,0.8,,,,非対象,,0,0,1.47,0.784,,0,0,1.47,0.784,,0,0,1.47,0.784,,0,0,1.47,0.784
16,,2208,,0,,,0.5,0.4,,,,非対象,,0,0,0.49,0.392,,0,0,0.49,0.392,,0,0,0.49,0.392,,0,0,0.49,0.392
17,,2209,,0,,,1,0.34,,,,非対象,,0,0,0.98,0.3332,,0,0,0.98,0.3332,,0,0,0.98,0.3332,,0,0,0.98,0.3332
18,,2210,,0,,,2,0.04,,,,非対象,,0,0,1.96,0.0392,,0,0,1.96,0.0392,,0,0,1.96,0.0392,,0,0,1.96,0.0392
19,,3001,,1.02,2.678,1.12417,,,,,,,,2.62444,1.1016866,0,0,,2.62444,1.1016866,0,0,,2.442373385,0.997194459,0,0,,2.442373385,0.997194459,0,0
20,,3002,,1.02,7.747,2.03008,,,,,,,,7.59206,1.9894784,0,0,,7.59206,1.9894784,0,0,,7.065372148,1.80078149,0,0,,7.065372148,1.80078149,0,0
21,,3003,,1.02,4.232,1.48724,,,,,,,,4.14736,1.4574952,0,0,,4.14736,1.4574952,0,0,,3.859643079,1.319255529,0,0,,3.859643079,1.319255529,0,0
22,,3004,,1.02,3.5,0.28217,,,,,,,,3.43,0.2765266,0,0,,3.43,0.2765266,0,0,,3.19204886,0.250298763,0,0,,3.19204886,0.250298763,0,0
23,,3005,,1.02,2.1,0.42625,,,,,,,,2.058,0.417725,0,0,,2.058,0.417725,0,0,,1.915229316,0.378104858,0,0,,1.915229316,0.378104858,0,0
24,,3006,,1.02,3.64,1.36906,,,,,,,,3.5672,1.3416788,0,0,,3.5672,1.3416788,0,0,,3.319730814,1.214424016,0,0,,3.319730814,1.214424016,0,0
25,,3007,,1.02,4.48,1.10959,,,,,,,,4.3904,1.0873982,0,0,,4.3904,1.0873982,0,0,,4.085822541,0.984261277,0,0,,4.085822541,0.984261277,0,0
26,,3008,,1.02,2.8,1.02313,,,,,,,,2.744,1.0026674,0,0,,2.744,1.0026674,0,0,,2.553639088,0.907566976,0,0,,2.553639088,0.907566976,0,0
27,,3009,,1.02,2.34,0.39833,,,,,,,,2.2932,0.3903634,0,0,,2.2932,0.3903634,0,0,,2.134112666,0.353338435,0,0,,2.134112666,0.353338435,0,0
28,,3010,,1.02,2.2,0.24425,,,,,,,,2.156,0.239365,0,0,,2.156,0.239365,0,0,,2.006430712,0.216661845,0,0,,2.006430712,0.216661845,0,0
29,,3011,,1.02,2.44,0.24771,,,,,,,,2.3912,0.2427558,0,0,,2.3912,0.2427558,0,0,,2.225314062,0.219731037,0,0,,2.225314062,0.219731037,0,0
30,,3012,,1.02,0.98,0.28701,,,,,,,,0.9604,0.2812698,0,0,,0.9604,0.2812698,0,0,,0.893773681,0.254592083,0,0,,0.893773681,0.254592083,0,0
